comment,likes
"How do I install this on Windows?",42
"Can you show how to install this on Windows 11?",31
"How can I install it on Windows?",18
"Why does Docker use so much RAM?",55
"Docker is using 6GB of RAM, is that normal?",44
"Why is Docker eating all my memory?",22
"This crashes every time I press export",73
"Export doesn't work for me, it crashes",51
"Great video, thanks!",15
"Awesome explanation",7
"Check my channel https://example.com",0
"Can you make a tutorial about deployment?",39
"Would love a video on deploying this",28
